epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
53,1348.56,1.0038,0.84966,1.47655,0.03551,0.89276,0.85244,0.9279,0.7499,0.68953,0.50795,1.30075,0.01669,0.007426,0.007426,0.007426
54,1373.66,1.00459,0.88245,1.48124,0.03484,0.87503,0.89623,0.94463,0.7884,0.66832,0.4597,1.2701,0.01885,0.0073765,0.0073765,0.0073765
55,1398.99,0.99258,0.84338,1.45644,0.03291,0.8964,0.87944,0.94604,0.78202,0.67175,0.47537,1.26481,0.01833,0.007327,0.007327,0.007327
56,1424.11,0.9968,0.85549,1.46592,0.03378,0.90251,0.86292,0.94323,0.78012,0.67891,0.46326,1.27203,0.01971,0.0072775,0.0072775,0.0072775
57,1449.24,0.99596,0.85575,1.46471,0.03358,0.88471,0.88715,0.94581,0.7838,0.66585,0.46702,1.25403,0.01675,0.007228,0.007228,0.007228
58,1474.48,0.97259,0.82298,1.45269,0.03217,0.89499,0.87971,0.93921,0.77424,0.67533,0.48471,1.27216,0.01713,0.0071785,0.0071785,0.0071785
59,1499.68,0.99297,0.85618,1.46319,0.03325,0.894,0.87753,0.94462,0.78491,0.65756,0.47337,1.2492,0.01473,0.007129,0.007129,0.007129
60,1524.83,0.99659,0.8513,1.46255,0.03294,0.89999,0.88604,0.94519,0.78542,0.65467,0.46331,1.24525,0.01873,0.0070795,0.0070795,0.0070795
61,1549.99,0.98912,0.84121,1.46221,0.0335,0.89709,0.89017,0.94417,0.7805,0.66104,0.46071,1.25046,0.01668,0.00703,0.00703,0.00703
62,1575.17,0.98946,0.85079,1.46127,0.03186,0.88935,0.89601,0.94562,0.78287,0.65814,0.45907,1.24891,0.02007,0.0069805,0.0069805,0.0069805
63,1600.21,0.97184,0.82847,1.44935,0.03128,0.91112,0.87944,0.94888,0.78828,0.64883,0.44707,1.25399,0.0163,0.006931,0.006931,0.006931
64,1625.39,0.96993,0.82131,1.44267,0.03171,0.894,0.8984,0.94884,0.79252,0.64843,0.45682,1.24803,0.01533,0.0068815,0.0068815,0.0068815
65,1650.76,0.97004,0.81992,1.45317,0.03278,0.88192,0.90091,0.94199,0.78062,0.66072,0.45876,1.26798,0.01596,0.006832,0.006832,0.006832
