epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
90,2303.57,0.86972,0.68812,1.37728,0.01825,0.91989,0.89926,0.95722,0.81065,0.61056,0.40075,1.21094,0.01186,0.0055945,0.0055945,0.0055945
91,2328.79,0.85639,0.6838,1.36686,0.01861,0.90287,0.90421,0.95603,0.80861,0.61424,0.39996,1.21075,0.01182,0.005545,0.005545,0.005545
92,2354.22,0.86896,0.68918,1.37068,0.01971,0.92601,0.88882,0.95716,0.80781,0.61836,0.40186,1.21317,0.0119,0.0054955,0.0054955,0.0054955
93,2379.5,0.86121,0.68304,1.3724,0.01934,0.88873,0.92486,0.95673,0.80896,0.61371,0.40103,1.21373,0.01171,0.005446,0.005446,0.005446
94,2404.56,0.86424,0.67929,1.3816,0.01968,0.90797,0.90432,0.95815,0.81356,0.61388,0.39853,1.21403,0.01252,0.0053965,0.0053965,0.0053965
95,2429.75,0.85505,0.67771,1.36694,0.01965,0.89696,0.91329,0.95648,0.81022,0.61696,0.39824,1.21376,0.01228,0.005347,0.005347,0.005347
96,2454.92,0.85872,0.67374,1.36394,0.01892,0.90432,0.91316,0.95645,0.81298,0.61639,0.39591,1.21289,0.01187,0.0052975,0.0052975,0.0052975
97,2480.41,0.86781,0.67752,1.37234,0.01933,0.90206,0.92028,0.9598,0.81217,0.61677,0.39646,1.21486,0.01198,0.005248,0.005248,0.005248
98,2505.47,0.8552,0.6673,1.37432,0.01935,0.91549,0.90346,0.95722,0.81,0.6165,0.39788,1.21172,0.01242,0.0051985,0.0051985,0.0051985
99,2530.69,0.86619,0.68401,1.36938,0.01895,0.90887,0.91421,0.95792,0.81266,0.6152,0.39571,1.2091,0.01248,0.005149,0.005149,0.005149
